customerid,tenure,phoneservice,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7088-FBAWU,17,Yes,DSL,Month-to-month,No,Mailed check,74.55,1215.80,False
8313-AFGBW,47,Yes,DSL,Two year,No,Electronic check,73.60,3522.65,False
3943-KDREE,26,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),74.95,1834.95,True
9239-ZBZZV,6,No,DSL,Month-to-month,Yes,Electronic check,47.95,305.10,True
3097-IDVPU,19,Yes,DSL,Month-to-month,No,Credit card (automatic),50.10,910.45,False
4398-HSCJH,3,Yes,DSL,Month-to-month,Yes,Electronic check,63.60,155.65,True
2197-OMWGI,68,No,DSL,Two year,Yes,Electronic check,53.00,3656.25,False
2303-PJYHN,2,Yes,No,Month-to-month,No,Bank transfer (automatic),19.85,52.00,False
9795-VOWON,7,No,DSL,One year,Yes,Credit card (automatic),24.35,150.85,False
1237-WIYYZ,18,Yes,No,Month-to-month,Yes,Mailed check,19.55,389.25,False
1987-AUELQ,71,Yes,No,Two year,No,Credit card (automatic),25.05,1873.70,False
7852-LECYP,13,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),93.80,1261.00,False
4430-UZIPO,3,No,DSL,Month-to-month,Yes,Mailed check,36.85,108.70,True
4822-LPTYJ,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),103.75,7346.20,False
8165-CBKXO,66,No,DSL,Two year,Yes,Credit card (automatic),56.75,3708.40,False
6527-PZFPV,24,Yes,No,One year,Yes,Credit card (automatic),20.80,469.65,False
4855-SNKMY,1,Yes,DSL,Month-to-month,Yes,Electronic check,44.10,44.10,True
9593-CVZKR,56,Yes,No,Two year,Yes,Mailed check,24.45,1385.85,False
8595-SIZNC,22,Yes,No,One year,No,Bank transfer (automatic),25.60,548.80,False
8008-HAWED,14,No,DSL,Month-to-month,Yes,Electronic check,50.75,712.75,True
7124-UGSUR,61,Yes,Fiber optic,One year,Yes,Credit card (automatic),104.40,6405.00,True
1862-SKORY,40,No,DSL,Month-to-month,Yes,Electronic check,39.30,1637.40,True
5236-XMZJY,42,Yes,DSL,Month-to-month,No,Bank transfer (automatic),59.65,2536.55,False
4827-DPADN,72,Yes,DSL,Two year,Yes,Bank transfer (automatic),83.30,6042.70,False
2694-CIUMO,12,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),79.55,958.25,False
5846-ABOBJ,71,Yes,No,Two year,No,Bank transfer (automatic),24.45,1730.65,False
1439-LCGVL,26,Yes,No,One year,No,Mailed check,19.20,459.60,False
0909-SDHNU,7,No,DSL,Month-to-month,No,Mailed check,29.80,201.95,False
4647-XXZAM,6,Yes,DSL,Month-to-month,No,Mailed check,45.50,285.20,False
1502-XFCVR,58,Yes,Fiber optic,One year,Yes,Electronic check,106.45,6145.85,True
7740-KKCXF,51,No,DSL,Month-to-month,Yes,Credit card (automatic),30.05,1529.45,False
5360-XGYAZ,72,No,DSL,Two year,Yes,Bank transfer (automatic),65.65,4664.50,False
9692-TUSXH,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.05,1740.70,True
7912-SYRQT,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.10,552.95,True
3557-HTYWR,47,Yes,DSL,Two year,No,Mailed check,74.05,3496.30,False
4816-JBHOV,2,Yes,DSL,Month-to-month,Yes,Electronic check,44.70,93.70,True
8920-NAVAY,62,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),110.75,7053.35,False
1699-TLDLZ,16,Yes,No,Two year,No,Mailed check,19.70,301.55,False
5600-PDUJF,6,Yes,DSL,Month-to-month,Yes,Credit card (automatic),49.50,312.70,False
8292-TYSPY,19,Yes,DSL,Month-to-month,Yes,Credit card (automatic),55.00,1046.50,True
0567-XRHCU,69,No,DSL,Two year,Yes,Credit card (automatic),43.95,2960.10,False
1867-BDVFH,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.35,834.20,True
2067-QYTCF,64,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.15,6953.40,False
2359-QWQUL,39,Yes,Fiber optic,One year,Yes,Credit card (automatic),104.70,4134.85,True
9103-TCIHJ,15,Yes,DSL,Month-to-month,Yes,Mailed check,55.70,899.80,True
7407-SUJIZ,25,Yes,No,Month-to-month,No,Mailed check,20.60,541.50,False
9150-KPBJQ,6,Yes,No,Two year,No,Credit card (automatic),19.65,116.85,False
0052-DCKON,66,Yes,Fiber optic,One year,No,Bank transfer (automatic),115.80,7942.15,False
3654-ARMGP,61,Yes,DSL,Two year,No,Credit card (automatic),88.65,5321.25,False
9699-UBQFS,43,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.50,4156.80,False
9367-TCUYN,12,Yes,No,Month-to-month,No,Mailed check,20.10,223.60,False
1261-FWTTE,23,No,DSL,Month-to-month,Yes,Bank transfer (automatic),34.65,768.45,False
3528-HFRIQ,71,No,DSL,Month-to-month,Yes,Bank transfer (automatic),52.30,3765.05,False
0708-SJDIS,34,Yes,DSL,Month-to-month,No,Mailed check,65.00,2157.50,False
4140-WJAWW,5,Yes,No,Month-to-month,No,Credit card (automatic),19.85,108.05,True
2073-QBVBI,41,No,DSL,One year,No,Mailed check,35.45,1391.65,False
6928-ONTRW,72,Yes,No,Two year,No,Credit card (automatic),19.70,1379.80,False
3320-VEOYC,14,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.60,1273.30,False
5231-FIQPA,41,Yes,No,Two year,Yes,Mailed check,19.85,810.45,False
6617-WLBQC,23,Yes,Fiber optic,One year,No,Credit card (automatic),81.85,1810.85,False
2599-CIPQE,71,Yes,Fiber optic,Two year,No,Credit card (automatic),109.30,7782.85,False
6653-CBBOM,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.30,70.30,True
8774-GSBUN,72,Yes,No,Two year,No,Mailed check,25.40,1797.10,False
7326-RIGQZ,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.80,377.85,False
1401-FTHFQ,23,Yes,No,One year,Yes,Credit card (automatic),20.00,445.30,False
3247-ZVOUO,10,Yes,Fiber optic,Month-to-month,No,Electronic check,85.55,851.75,True
0254-FNMCI,72,Yes,Fiber optic,Two year,Yes,Electronic check,109.90,7624.20,False
1848-LBZHY,7,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),50.30,355.10,False
6101-IMRMM,6,Yes,Fiber optic,Month-to-month,No,Mailed check,94.50,575.45,True
8118-TJAFG,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.50,906.85,False
5429-LWCMV,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.15,1057.55,False
7298-IZWLY,1,Yes,No,Month-to-month,Yes,Mailed check,19.40,19.40,False
9758-MFWGD,48,No,DSL,One year,No,Bank transfer (automatic),29.90,1388.75,False
3955-JBZZM,20,Yes,Fiber optic,Month-to-month,No,Electronic check,78.80,1641.30,False
1268-ASBGA,16,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.35,1375.15,True
8943-URTMR,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.65,152.70,True
4815-TUMEQ,10,Yes,No,One year,Yes,Mailed check,19.30,185.20,False
4713-LZDRV,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.60,195.05,True
9909-IDLEK,20,Yes,Fiber optic,Month-to-month,No,Mailed check,96.80,1826.70,False
4092-OFQZS,20,Yes,No,One year,No,Mailed check,20.65,417.50,False
1561-BWHIN,19,Yes,No,One year,No,Mailed check,19.80,344.50,False
4325-NFSKC,19,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.60,1660.00,True
9927-DSWDF,22,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.60,2180.55,False
9500-LTVBP,35,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),80.05,2835.90,False
7252-NTGSS,1,Yes,DSL,Month-to-month,No,Mailed check,45.15,45.15,False
8149-AIQCG,39,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),73.15,2730.85,False
1360-JYXKQ,54,Yes,Fiber optic,One year,Yes,Electronic check,99.10,5437.10,False
2955-PSXOE,1,Yes,No,Month-to-month,Yes,Bank transfer (automatic),20.20,20.20,True
7762-URZQH,66,Yes,Fiber optic,Two year,Yes,Credit card (automatic),106.05,6981.35,True
0899-WZRSD,56,Yes,Fiber optic,Month-to-month,Yes,Mailed check,105.35,5794.45,False
3255-GRXMG,18,Yes,DSL,Month-to-month,Yes,Credit card (automatic),45.65,747.20,False
4828-FAZPK,16,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),79.95,1267.95,False
6094-ZIVKX,68,Yes,DSL,One year,Yes,Credit card (automatic),54.45,3674.95,False
6925-BAYGL,53,Yes,No,Two year,No,Credit card (automatic),25.10,1275.60,False
3262-EIDHV,72,Yes,DSL,Two year,No,Credit card (automatic),84.70,5893.90,False
7354-OIJLX,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.85,724.65,False
1376-HHBDV,30,Yes,DSL,Month-to-month,Yes,Mailed check,48.80,1536.75,False
6907-NZZIJ,36,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.15,3615.60,True
6133-OZILE,18,No,DSL,Month-to-month,Yes,Electronic check,35.20,607.30,False
4135-FRWKJ,55,Yes,DSL,One year,No,Electronic check,76.25,4154.55,False
2911-UREFD,39,No,DSL,Month-to-month,No,Electronic check,55.90,2184.35,True
3744-ZRRDZ,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,82.35,1852.85,True
5673-TIYIB,2,No,DSL,Month-to-month,Yes,Credit card (automatic),40.40,77.15,True
6551-ZCOTS,33,Yes,No,One year,Yes,Bank transfer (automatic),24.90,847.80,False
7191-ADRGF,44,No,DSL,Two year,No,Bank transfer (automatic),54.30,2390.45,False
5018-LXQQG,30,Yes,DSL,Month-to-month,No,Bank transfer (automatic),66.30,1923.50,False
6892-BOGQE,71,Yes,No,Two year,Yes,Bank transfer (automatic),20.90,1493.20,False
1602-IJQQE,4,Yes,Fiber optic,Month-to-month,No,Electronic check,75.35,338.10,True
4628-WQCQQ,35,Yes,Fiber optic,One year,Yes,Electronic check,85.15,3030.60,True
1746-TGTWV,1,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),75.35,75.35,False
5995-SNNEW,23,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.45,2184.85,False
8050-WYBND,22,No,DSL,One year,Yes,Credit card (automatic),49.45,1031.40,False
2821-WARNZ,49,Yes,No,One year,No,Credit card (automatic),19.45,921.30,False
4879-GZLFH,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.15,3875.40,False
1644-IRKSF,33,Yes,Fiber optic,One year,Yes,Electronic check,93.80,3124.50,True
8314-HTWVE,7,Yes,No,Two year,No,Mailed check,19.85,144.15,False
9402-ROUMJ,67,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),100.25,6689.00,False
2507-QZPQS,15,Yes,Fiber optic,Month-to-month,No,Electronic check,95.70,1451.10,False
7159-NOKYQ,67,Yes,Fiber optic,Two year,Yes,Electronic check,93.15,6368.20,False
5707-ZMDJP,53,Yes,DSL,Two year,Yes,Mailed check,69.70,3729.60,False
8779-YIQQA,21,Yes,No,One year,No,Mailed check,19.80,350.10,False
7136-IHZJA,40,Yes,DSL,Month-to-month,Yes,Mailed check,71.35,2847.20,False
8966-OIQHG,22,Yes,No,One year,No,Bank transfer (automatic),20.75,452.35,False
7074-STDCN,39,No,DSL,Month-to-month,Yes,Electronic check,40.60,1494.50,False
3705-PSNGL,45,Yes,No,One year,Yes,Electronic check,20.40,930.45,True
8739-QOTTN,2,Yes,No,Month-to-month,No,Mailed check,20.35,41.85,False
1399-OUPJN,57,Yes,No,Two year,No,Bank transfer (automatic),19.75,1272.05,False
0277-BKSQP,8,Yes,DSL,Month-to-month,Yes,Electronic check,54.40,475.10,False
6502-HCJTI,7,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.70,673.10,True
2606-RMDHZ,6,No,DSL,Month-to-month,Yes,Credit card (automatic),30.50,208.70,True
5774-XZTQC,7,Yes,No,Month-to-month,No,Mailed check,20.45,150.75,False
2676-SSLTO,49,Yes,DSL,Two year,Yes,Bank transfer (automatic),66.15,3199.00,False
6266-QHOJZ,65,Yes,Fiber optic,One year,Yes,Electronic check,89.85,5844.65,False
7269-JISCY,55,Yes,DSL,One year,No,Bank transfer (automatic),45.05,2462.60,False
0363-SVHYR,71,Yes,DSL,Two year,No,Bank transfer (automatic),86.85,6263.80,False
8547-NSBBO,35,Yes,Fiber optic,Month-to-month,Yes,Mailed check,96.75,3403.40,False
8258-GSTJK,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,77.00,237.75,True
6861-OKBCE,11,Yes,No,Month-to-month,No,Credit card (automatic),20.10,221.35,True
9940-RHLFB,1,Yes,Fiber optic,Month-to-month,No,Electronic check,75.30,75.30,True
6591-QGOYB,17,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),106.65,1672.10,False
9070-BCKQP,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),110.15,7881.20,False
6421-SZVEM,28,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),82.85,2320.80,False
1328-EUZHC,18,Yes,No,Two year,No,Mailed check,20.10,370.50,False
2995-UPRYS,40,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.20,4062.20,True
8878-RYUKI,52,Yes,DSL,Month-to-month,Yes,Electronic check,59.45,3043.70,False
9633-DENPU,47,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),58.60,2723.40,False
7811-JIVPF,23,Yes,DSL,Month-to-month,No,Credit card (automatic),49.70,1081.25,False
7113-HIPFI,66,Yes,DSL,Two year,No,Mailed check,65.85,4097.05,False
8541-QVFKM,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.50,632.20,False
6686-YPGHK,47,Yes,Fiber optic,Month-to-month,No,Mailed check,85.50,4042.30,True
1383-EZRWL,7,Yes,No,Month-to-month,No,Mailed check,20.05,164.85,True
9258-CNWAC,71,Yes,Fiber optic,Two year,No,Credit card (automatic),113.65,8166.80,False
5371-VYLSX,50,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.40,4113.70,False
6374-AFWOX,46,Yes,DSL,Two year,No,Mailed check,65.65,3047.15,False
4759-TRPLW,1,Yes,Fiber optic,Month-to-month,No,Electronic check,70.40,70.40,True
5317-FLPJF,66,No,DSL,Two year,Yes,Bank transfer (automatic),61.35,4193.40,False
7621-VPNET,42,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.90,3729.75,False
6034-YMTOB,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,75.65,399.45,False
8563-IIOXK,7,Yes,DSL,One year,Yes,Electronic check,49.75,331.30,True
4903-CNOZC,29,Yes,DSL,One year,No,Credit card (automatic),70.90,1964.60,False
4353-HYOJD,27,Yes,DSL,Month-to-month,No,Mailed check,49.85,1336.15,False
8020-BWHYL,15,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),75.30,1147.45,True
7267-FRMJW,25,Yes,No,Two year,No,Mailed check,20.10,486.05,False
2982-VPSGI,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.00,1078.90,True
4188-FRABG,57,Yes,Fiber optic,Month-to-month,Yes,Electronic check,103.05,5925.75,False
8199-ZLLSA,67,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),118.35,7804.15,True
4128-ETESU,47,Yes,Fiber optic,Month-to-month,No,Electronic check,99.70,4747.20,False
0620-DLSLK,13,Yes,Fiber optic,Month-to-month,Yes,Mailed check,81.90,1028.90,False
4625-EWPTF,8,No,DSL,Month-to-month,Yes,Electronic check,30.45,226.45,True
5980-NOPLP,44,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.10,4364.10,True
3850-OKINF,71,Yes,DSL,One year,Yes,Electronic check,66.20,4692.55,False
6892-XPFPU,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.25,2433.90,True
8010-EZLOU,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.20,1217.25,True
1156-ZFYDO,1,Yes,No,Month-to-month,No,Electronic check,19.75,19.75,False
3295-YVUSR,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,72.60,154.30,False
8016-NCFVO,55,Yes,Fiber optic,Month-to-month,Yes,Electronic check,116.50,6382.55,False
4119-ZYPZY,71,Yes,Fiber optic,Two year,Yes,Electronic check,106.80,7623.20,False
5549-ZGHFB,50,Yes,No,Two year,No,Mailed check,24.95,1261.45,False
7577-SWIFR,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.25,89.25,False
0303-WMMRN,5,Yes,No,Month-to-month,Yes,Mailed check,19.25,86.05,False
6408-OTUBZ,66,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),104.55,6779.05,False
5204-HMGYF,49,Yes,DSL,One year,Yes,Mailed check,87.20,4345.00,False
1078-TDCRN,3,No,DSL,Month-to-month,Yes,Electronic check,30.75,82.85,False
3727-OVPRY,66,Yes,No,One year,Yes,Credit card (automatic),25.70,1714.55,False
3797-FKOGQ,11,Yes,Fiber optic,Month-to-month,No,Electronic check,86.20,893.20,False
7622-NXQZR,28,No,DSL,Month-to-month,Yes,Credit card (automatic),30.10,810.85,False
6196-HBOBZ,65,Yes,Fiber optic,Two year,Yes,Electronic check,99.35,6347.55,False
3970-XGJDU,62,Yes,No,Two year,Yes,Credit card (automatic),19.20,1123.65,False
7017-VFULY,2,Yes,No,Month-to-month,No,Bank transfer (automatic),20.10,43.15,False
5562-YJQGT,2,Yes,No,Month-to-month,No,Credit card (automatic),20.35,35.10,False
8807-OPMBM,55,Yes,No,Two year,Yes,Credit card (automatic),25.65,1388.00,False
5439-WIKXB,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.55,3851.45,False
9874-QLCLH,17,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.20,1743.50,True
8294-UIMBA,30,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),94.40,2638.10,False
8109-YUOHE,17,Yes,DSL,One year,No,Mailed check,56.10,946.95,False
5840-NVDCG,16,Yes,DSL,Two year,No,Bank transfer (automatic),68.25,1114.85,False
8092-NLTGF,72,Yes,No,Two year,No,Bank transfer (automatic),24.75,1777.60,False
5928-QLDHB,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.25,684.85,False
9840-EFJQB,1,Yes,Fiber optic,Month-to-month,No,Electronic check,74.35,74.35,False
0696-UKTOX,23,Yes,DSL,Month-to-month,No,Electronic check,54.15,1312.45,False
4801-KFYKL,8,Yes,No,Month-to-month,No,Bank transfer (automatic),19.45,159.20,False
3472-OAOOR,19,No,DSL,Month-to-month,Yes,Mailed check,34.95,610.20,False
6135-OZQVA,7,Yes,DSL,Month-to-month,Yes,Electronic check,53.65,404.35,False
8062-YBDOE,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.65,69.65,True
2252-JHJGE,61,Yes,Fiber optic,One year,No,Electronic check,104.00,6363.45,False
4188-PCPIG,57,Yes,DSL,Two year,Yes,Credit card (automatic),70.35,4124.65,False
6000-APYLU,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.80,713.10,True
7105-BENQF,15,Yes,DSL,One year,No,Mailed check,64.85,950.75,False
7721-DVEKZ,1,Yes,No,Month-to-month,No,Mailed check,19.65,19.65,False
3566-VVORZ,12,Yes,DSL,Month-to-month,No,Bank transfer (automatic),45.90,505.95,False
9507-HSMMZ,54,Yes,No,Two year,No,Mailed check,20.00,1149.65,False
2480-SQIOB,4,Yes,DSL,Month-to-month,No,Electronic check,44.80,169.65,False
0947-IDHRQ,7,Yes,Fiber optic,Month-to-month,Yes,Mailed check,80.30,526.70,True
7813-TKCVO,20,Yes,No,One year,No,Mailed check,20.35,393.15,False
0128-MKWSG,26,No,DSL,Month-to-month,No,Mailed check,45.80,1147.00,False
3672-YITQD,36,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.10,3021.60,True
4350-ZTLPI,53,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),108.95,5718.20,False
9048-JVYVF,3,Yes,DSL,Month-to-month,Yes,Electronic check,69.35,191.35,True
0361-HJRDX,68,No,DSL,Two year,No,Credit card (automatic),64.35,4539.60,False
5727-MYATE,72,Yes,DSL,Two year,Yes,Credit card (automatic),90.80,6397.60,False
3823-KYNQY,12,Yes,No,One year,No,Credit card (automatic),24.95,280.40,False
8988-ECPJR,34,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.60,2718.30,True
7570-WELNY,68,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),84.70,5711.05,False
3021-VLNRJ,50,Yes,DSL,One year,Yes,Credit card (automatic),70.80,3478.15,False
3776-EKTKM,1,No,DSL,Month-to-month,Yes,Electronic check,36.45,36.45,True
2080-CAZNM,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.40,4133.95,False
1028-FFNJK,30,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.50,2917.65,False
6907-FLBER,1,Yes,DSL,Month-to-month,No,Electronic check,54.30,54.30,False
3001-UNBTL,29,Yes,Fiber optic,Month-to-month,Yes,Electronic check,103.95,2964.80,False
5982-PSMKW,23,Yes,DSL,Two year,Yes,Credit card (automatic),91.10,2198.30,False
3507-GASNP,60,Yes,No,Two year,No,Mailed check,19.95,1189.90,False
7096-ZNBZI,72,Yes,No,Two year,No,Credit card (automatic),26.45,1914.50,False
1902-XBTFB,22,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.40,2001.50,True
1676-MQAOA,72,Yes,DSL,Two year,Yes,Bank transfer (automatic),75.10,5336.35,False
0786-IVLAW,66,Yes,Fiber optic,One year,No,Bank transfer (automatic),108.10,7238.60,False
7566-DSRLQ,72,Yes,Fiber optic,Two year,Yes,Electronic check,110.15,7998.80,False
0643-OKLRP,47,Yes,Fiber optic,Month-to-month,No,Electronic check,80.35,3825.85,True
7245-JMTTQ,51,Yes,Fiber optic,One year,Yes,Electronic check,111.50,5703.25,False
6050-IJRHS,70,Yes,Fiber optic,One year,Yes,Electronic check,106.50,7397.00,False
6202-JVYEU,9,Yes,No,One year,Yes,Electronic check,19.90,164.60,False
8591-TKMZH,59,Yes,Fiber optic,Two year,Yes,Mailed check,111.10,6555.20,False
0734-OXWBT,3,Yes,DSL,Month-to-month,No,Mailed check,70.70,225.65,False
4282-ACRXS,38,No,DSL,Month-to-month,Yes,Electronic check,24.85,955.75,False
0365-TRTPY,37,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),91.20,3382.30,False
7349-ALMUX,37,Yes,DSL,Two year,No,Bank transfer (automatic),65.60,2313.80,False
9381-NDKME,24,No,DSL,Month-to-month,Yes,Credit card (automatic),40.65,933.30,True
6502-KUGLL,14,Yes,DSL,Month-to-month,No,Bank transfer (automatic),59.45,780.85,False
1841-YSJGV,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),109.95,7852.40,False
2794-XIMMO,53,No,DSL,One year,Yes,Electronic check,60.45,3184.25,True
8382-SHQEH,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.90,764.95,True
3511-BFTJW,72,No,DSL,Two year,No,Credit card (automatic),38.50,2763.00,False
7668-XCFYV,17,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.55,1614.70,False
2983-ZANRP,2,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),73.55,145.40,True
7845-URHJN,8,Yes,No,Month-to-month,No,Bank transfer (automatic),20.15,156.25,True
3034-ZBEQN,48,No,DSL,One year,No,Mailed check,34.70,1604.50,True
5018-HEKFO,10,Yes,No,Month-to-month,Yes,Mailed check,24.50,270.15,False
2923-ARZLG,0,Yes,No,One year,Yes,Mailed check,19.70,0.00,False
3976-NLDEZ,1,Yes,No,Month-to-month,No,Mailed check,20.60,20.60,False
2282-YGNOR,29,Yes,DSL,One year,No,Credit card (automatic),58.00,1734.50,False
5336-UFNZP,65,Yes,Fiber optic,One year,Yes,Electronic check,107.45,7047.50,False
6854-EXGSF,8,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),65.50,573.15,False
1241-EZFMJ,61,Yes,No,Two year,No,Bank transfer (automatic),25.45,1538.60,False
9233-PSYHO,45,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),100.15,4459.80,False
5376-PCKNB,72,Yes,Fiber optic,One year,Yes,Credit card (automatic),104.45,7459.00,False
8044-BGWPI,12,Yes,No,Month-to-month,Yes,Electronic check,21.15,306.05,False
4060-LDNLU,7,Yes,Fiber optic,Month-to-month,No,Electronic check,96.20,639.70,False
3589-PPVKW,9,Yes,DSL,Month-to-month,Yes,Mailed check,44.40,348.15,False
8327-LZKAS,43,Yes,Fiber optic,One year,Yes,Electronic check,107.55,4533.90,True
5887-IKKYO,58,Yes,Fiber optic,Two year,No,Bank transfer (automatic),94.35,5563.65,False
1075-BGWOH,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.75,1587.55,True
1755-RMCXH,2,Yes,No,Month-to-month,No,Mailed check,20.30,40.25,False
0302-JOIVN,8,Yes,Fiber optic,Month-to-month,No,Electronic check,101.15,842.90,True
3858-XHYJO,40,Yes,Fiber optic,One year,No,Bank transfer (automatic),105.75,4228.55,False
4299-SIMNS,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.15,784.45,False
7025-IWFHT,41,Yes,Fiber optic,One year,Yes,Electronic check,89.55,3729.75,False
6261-LHRTG,26,Yes,DSL,Month-to-month,Yes,Credit card (automatic),54.75,1406.90,False
7841-FCRQD,33,Yes,DSL,One year,Yes,Credit card (automatic),53.75,1857.30,False
2056-EVGZL,68,Yes,Fiber optic,One year,No,Credit card (automatic),105.75,7322.50,False
8777-MBMTS,65,Yes,Fiber optic,Two year,Yes,Credit card (automatic),105.85,6725.50,False
7753-USQYQ,55,Yes,DSL,One year,Yes,Electronic check,64.20,3627.30,False
5366-IJEQJ,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.70,1761.45,True
7661-CPURM,19,Yes,Fiber optic,One year,Yes,Credit card (automatic),87.70,1725.95,False
6233-HXJMX,45,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.30,4192.15,False
5902-WBLSE,70,Yes,No,Two year,Yes,Credit card (automatic),20.15,1411.20,False
1981-INRFU,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.75,164.50,True
4971-PUYQO,27,Yes,Fiber optic,Month-to-month,Yes,Mailed check,94.55,2724.60,True
3239-TPHPZ,12,Yes,No,Two year,Yes,Electronic check,20.05,264.55,False
5115-GZDEL,72,No,DSL,Two year,No,Credit card (automatic),67.20,4671.70,False
3338-CVVEH,12,Yes,Fiber optic,Month-to-month,No,Electronic check,94.55,1173.55,False
8485-GJCDN,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,69.05,318.50,True
2615-YVMYX,71,Yes,Fiber optic,Month-to-month,Yes,Electronic check,107.50,7713.55,False
2851-STERV,35,Yes,DSL,One year,Yes,Electronic check,73.00,2471.25,False
4393-GEADV,70,Yes,Fiber optic,Two year,No,Credit card (automatic),114.75,7842.30,False
8486-AYEQH,31,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.05,2227.80,False
1527-SXDPN,52,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),96.25,4990.25,True
6029-WTIPC,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.10,3744.05,True
8634-CILSZ,69,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),104.70,7220.35,True
5419-JKZNQ,30,Yes,Fiber optic,Month-to-month,No,Mailed check,77.90,2351.45,False
2495-KZNFB,33,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.65,2989.60,False
